Bulan,SUM of Inflasi mom,"<b>Aug-2025<br>0,26</b>"
Sun Jan 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),1.36,1.36
Wed Feb 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.58,0.58
Wed Mar 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.03,0.03
Sat Apr 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.05,0.05
Mon May 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.37,0.37
Thu Jun 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.45,0.45
Sat Jul 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.45,0.45
Tue Aug 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.33,0.33
Fri Sep 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.38,0.38
Sun Oct 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.86,0.86
Wed Nov 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),0.34,0.34
Fri Dec 01 2006 00:00:00 GMT+0700 (Western Indonesia Time),1.21,1.21
Mon Jan 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),1.04,1.04
Thu Feb 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.62,0.62
Thu Mar 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.24,0.24
Sun Apr 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),-0.16,-0.16
Tue May 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.1,0.1
Fri Jun 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.23,0.23
Sun Jul 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.72,0.72
Wed Aug 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.75,0.75
Sat Sep 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.8,0.8
Mon Oct 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.79,0.79
Thu Nov 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),0.18,0.18
Sat Dec 01 2007 00:00:00 GMT+0700 (Western Indonesia Time),1.1,1.1
Tue Jan 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),1.77,1.77
Fri Feb 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),0.65,0.65
Sat Mar 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),0.95,0.95
Tue Apr 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),0.57,0.57
Thu May 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),1.41,1.41
Sun Jun 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),2.46,2.46
Tue Jul 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),1.37,1.37
Fri Aug 01 2008 00:00:00 GMT+0700 (Western Indonesia Time),0.51,0.51
